# Malda BuiltInRegistry inventory (Phase 0)
# Source: MaldaLang/BuiltIns/BuiltInRegistry.cs
# Regenerate: scripts/generate-core-builtin-inventory.ps1
# Format: symbol -> tier | note
# Optional-pack / vertical symbols must NOT appear here (enforced by OptionalPackRegistryGuardTests)

# count: 347

abs -> tier1-core | BuiltInRegistry
gitDiff -> stdlib-io | BuiltInRegistry
gitLog -> stdlib-io | BuiltInRegistry
gitPull -> stdlib-io | BuiltInRegistry
gitPush -> stdlib-io | BuiltInRegistry
gitStatus -> stdlib-io | BuiltInRegistry
glob -> stdlib-io | BuiltInRegistry
grep -> stdlib-io | BuiltInRegistry
hasDirectory -> stdlib-general | BuiltInRegistry
hasEmbeddedFolder -> stdlib-general | BuiltInRegistry
hasEnv -> stdlib-general | BuiltInRegistry
hasFile -> stdlib-io | BuiltInRegistry
hashPassword -> stdlib-general | BuiltInRegistry
httpAuthToken -> platform-web | BuiltInRegistry
httpBearerToken -> platform-web | BuiltInRegistry
httpCookieToken -> platform-web | BuiltInRegistry
httpDelete -> platform-web | BuiltInRegistry
httpGet -> platform-web | BuiltInRegistry
httpPatch -> platform-web | BuiltInRegistry
httpPost -> platform-web | BuiltInRegistry
httpPut -> platform-web | BuiltInRegistry
hypot -> stdlib-general | BuiltInRegistry
includes -> stdlib-general | BuiltInRegistry
indexInto -> stdlib-general | BuiltInRegistry
indexOf -> stdlib-general | BuiltInRegistry
input -> stdlib-general | BuiltInRegistry
insertAtLine -> stdlib-general | BuiltInRegistry
int -> tier1-core | BuiltInRegistry
isArray -> stdlib-general | BuiltInRegistry
isNumber -> tier1-core | BuiltInRegistry
isObject -> stdlib-general | BuiltInRegistry
isPathUnder -> stdlib-general | BuiltInRegistry
isString -> stdlib-general | BuiltInRegistry
isTag -> tier1-core | BuiltInRegistry
join -> stdlib-general | BuiltInRegistry
length -> stdlib-general | BuiltInRegistry
listDirectory -> stdlib-io | BuiltInRegistry
listJobs -> stdlib-general | BuiltInRegistry
listWorkflowDeadLetters -> platform-workflow | BuiltInRegistry
listWorkflows -> platform-workflow | BuiltInRegistry
loadAssembly -> core-interop | BuiltInRegistry
loadDocuments -> stdlib-general | BuiltInRegistry
loadNativeModule -> core-interop | BuiltInRegistry
loadSkill -> platform-ai | BuiltInRegistry
loadSkillsFromDir -> platform-ai | BuiltInRegistry
log -> stdlib-general | BuiltInRegistry
log10 -> stdlib-general | BuiltInRegistry
log2 -> stdlib-general | BuiltInRegistry
logSumExp -> stdlib-general | BuiltInRegistry
lower -> stdlib-general | BuiltInRegistry
markdownToHtml -> stdlib-general | BuiltInRegistry
max -> tier1-core | BuiltInRegistry
md5 -> stdlib-general | BuiltInRegistry
mergeRetrievedDocs -> stdlib-general | BuiltInRegistry
min -> tier1-core | BuiltInRegistry
normalizeText -> stdlib-general | BuiltInRegistry
now -> stdlib-general | BuiltInRegistry
onAgentProgress -> stdlib-general | BuiltInRegistry
